Variable,Outcome,Count,Percent
bore,3.39,6,3.05
bore,3.05,6,3.05
bore,3.54,6,3.05
bore,3.01,5,2.54
bore,3.70,5,2.54
bore,3.35,4,2.03
bore,3.17,3,1.52
bore,3.59,3,1.52
bore,3.74,3,1.52
bore,3.24,2,1.02
bore,3.47,2,1.02
bore,3.80,2,1.02
bore,3.63,2,1.02
bore,3.50,2,1.02
bore,3.33,2,1.02
bore,3.94,1,0.51
bore,3.13,1,0.51
bore,3.34,1,0.51
bore,2.54,1,0.51
bore,3.60,1,0.51
bore,2.99,1,0.51
bore,3.61,1,0.51
bore,2.92,1,0.51
bore,3.08,1,0.51
bore,2.68,1,0.51
bore,3.76,1,0.51
stroke,3.40,19,9.64
stroke,3.23,14,7.11
stroke,3.15,14,7.11
stroke,3.03,14,7.11
stroke,3.39,13,6.6
stroke,2.64,11,5.58
stroke,3.29,9,4.57
stroke,3.35,9,4.57
stroke,3.46,8,4.06
stroke,3.27,6,3.05
stroke,3.19,6,3.05
stroke,3.41,6,3.05
stroke,3.07,6,3.05
stroke,3.50,6,3.05
stroke,3.58,6,3.05
stroke,3.52,5,2.54
stroke,3.64,5,2.54
stroke,3.54,4,2.03
stroke,3.86,4,2.03
stroke,3.47,4,2.03
stroke,3.11,3,1.52
stroke,2.90,3,1.52
stroke,3.90,3,1.52
stroke,3.10,2,1.02
stroke,2.80,2,1.02
stroke,4.17,2,1.02
stroke,2.68,2,1.02
stroke,2.19,2,1.02
stroke,3.08,2,1.02
stroke,3.12,1,0.51
stroke,3.21,1,0.51
stroke,2.07,1,0.51
stroke,2.36,1,0.51
stroke,3.16,1,0.51
stroke,2.76,1,0.51
stroke,2.87,1,0.51
horsepower,68,19,9.55
horsepower,69,10,5.03
horsepower,116,9,4.52
horsepower,70,9,4.52
horsepower,110,8,4.02
horsepower,95,7,3.52
horsepower,114,6,3.02
horsepower,101,6,3.02
horsepower,62,6,3.02
horsepower,88,6,3.02
horsepower,84,5,2.51
horsepower,160,5,2.51
horsepower,145,5,2.51
horsepower,102,5,2.51
horsepower,82,5,2.51
horsepower,76,5,2.51
horsepower,97,5,2.51
horsepower,123,4,2.01
horsepower,111,4,2.01
horsepower,86,4,2.01
horsepower,92,4,2.01
horsepower,182,3,1.51
horsepower,152,3,1.51
horsepower,121,3,1.51
horsepower,207,3,1.51
horsepower,85,3,1.51
horsepower,73,3,1.51
horsepower,90,3,1.51
horsepower,100,2,1.01
horsepower,162,2,1.01
horsepower,184,2,1.01
horsepower,176,2,1.01
horsepower,155,2,1.01
horsepower,56,2,1.01
horsepower,52,2,1.01
horsepower,94,2,1.01
horsepower,161,2,1.01
horsepower,112,2,1.01
horsepower,156,2,1.01
horsepower,175,1,0.5
horsepower,200,1,0.5
horsepower,142,1,0.5
horsepower,143,1,0.5
horsepower,154,1,0.5
horsepower,72,1,0.5
horsepower,120,1,0.5
horsepower,64,1,0.5
horsepower,135,1,0.5
horsepower,78,1,0.5
horsepower,262,1,0.5
horsepower,60,1,0.5
horsepower,58,1,0.5
horsepower,48,1,0.5
horsepower,140,1,0.5
horsepower,115,1,0.5
horsepower,134,1,0.5
horsepower,55,1,0.5
horsepower,106,1,0.5
peak-rpm,5500,36,18.09
peak-rpm,4800,36,18.09
peak-rpm,5000,27,13.57
peak-rpm,5200,23,11.56
peak-rpm,5400,11,5.53
peak-rpm,6000,9,4.52
peak-rpm,5800,7,3.52
peak-rpm,5250,7,3.52
peak-rpm,4500,7,3.52
peak-rpm,4150,5,2.51
peak-rpm,4200,5,2.51
peak-rpm,4750,4,2.01
peak-rpm,4350,4,2.01
peak-rpm,5100,3,1.51
peak-rpm,5900,3,1.51
peak-rpm,4250,3,1.51
peak-rpm,4400,3,1.51
peak-rpm,6600,2,1.01
peak-rpm,4650,1,0.5
peak-rpm,5600,1,0.5
peak-rpm,4900,1,0.5
peak-rpm,5300,1,0.5
